user_id,archetype,timestamp,hour,day_of_week,day_of_month,category,amount,avg_user_spend,is_late_night,is_end_of_month,is_weekend,spending_velocity,transaction_gap_minutes,category_switch_count,mood_proxy_score,impulse_label
U0000,freq_binger,2025-01-03T14:24:00,14,4,3,Alcohol,905.15,245.02,0,0,0,0,999.0,1,0.375,0
U0000,freq_binger,2025-01-05T11:48:00,11,6,5,Electronics,844.3,245.02,0,0,1,0,2724.0,1,0.631,0
U0000,freq_binger,2025-01-13T12:29:00,12,0,13,Alcohol,644.74,245.02,0,0,0,0,11561.0,1,0.312,0
U0000,freq_binger,2025-01-23T01:13:00,1,3,23,Gaming,443.17,245.02,1,0,0,0,13724.0,1,0.842,0
U0000,freq_binger,2025-01-27T20:18:00,20,0,27,Gaming,585.06,245.02,0,1,0,0,6905.0,1,0.304,0
U0000,freq_binger,2025-01-28T02:17:00,2,1,28,Alcohol,910.18,245.02,1,1,0,0,359.0,1,0.737,1
U0000,freq_binger,2025-01-29T14:17:00,14,2,29,Subscriptions,135.7,245.02,0,1,0,0,2160.0,1,0.061,0
U0000,freq_binger,2025-03-03T17:40:00,17,0,3,Food & Dining,62.88,245.02,0,0,0,0,47723.0,1,0.058,0
U0000,freq_binger,2025-03-12T01:38:00,1,2,12,Grocery,325.93,245.02,1,0,0,0,11998.0,1,0.522,0
U0000,freq_binger,2025-03-18T01:47:00,1,1,18,Electronics,327.86,245.02,1,0,0,0,8649.0,1,0.773,0
U0000,freq_binger,2025-03-18T09:59:00,9,1,18,Entertainment,875.46,245.02,0,0,0,0,492.0,1,0.391,0
U0000,freq_binger,2025-03-26T03:05:00,3,2,26,Fashion,195.96,245.02,1,1,0,0,11106.0,1,0.803,1
U0000,freq_binger,2025-04-01T20:51:00,20,1,1,Health,304.42,245.02,0,0,0,0,9706.0,1,0.118,0
U0000,freq_binger,2025-04-30T01:36:00,1,2,30,Alcohol,779.26,245.02,1,1,0,0,40605.0,1,0.734,1
U0000,freq_binger,2025-05-04T10:40:00,10,6,4,Gaming,688.29,245.02,0,0,1,0,6304.0,1,0.613,0
U0000,freq_binger,2025-05-12T11:08:00,11,0,12,Alcohol,264.12,245.02,0,0,0,0,11548.0,1,0.32,0
U0000,freq_binger,2025-05-18T20:17:00,20,6,18,Alcohol,870.68,245.02,0,0,1,0,9189.0,1,0.737,0
U0000,freq_binger,2025-05-18T21:00:00,21,6,18,Travel,355.3,245.02,0,0,1,1,43.0,1,0.399,0
U0000,freq_binger,2025-05-21T15:09:00,15,2,21,Alcohol,770.2,245.02,0,0,0,0,3969.0,1,0.307,0
U0000,freq_binger,2025-05-27T11:32:00,11,1,27,Entertainment,733.91,245.02,0,1,0,0,8423.0,1,0.433,1
U0000,freq_binger,2025-05-27T15:00:00,15,1,27,Travel,365.87,245.02,0,1,0,0,208.0,1,0.062,0
U0000,freq_binger,2025-05-28T11:42:00,11,2,28,Grocery,174.78,245.02,0,1,0,0,1242.0,1,0.037,0
U0000,freq_binger,2025-05-28T21:49:00,21,2,28,Alcohol,509.69,245.02,0,1,0,0,607.0,1,0.494,0
U0000,freq_binger,2025-05-30T02:14:00,2,4,30,Entertainment,315.2,245.02,1,1,0,0,1705.0,1,0.884,1
U0000,freq_binger,2025-05-30T20:11:00,20,4,30,Grocery,31.72,245.02,0,1,0,0,1077.0,1,0.018,0
U0001,freq_binger,2025-01-04T08:25:00,8,5,4,Alcohol,1949.01,1259.19,0,0,1,0,999.0,1,0.654,0
U0001,freq_binger,2025-01-07T02:57:00,2,1,7,Fashion,4767.62,1259.19,1,0,0,0,3992.0,1,0.866,1
U0001,freq_binger,2025-01-07T09:06:00,9,1,7,Gaming,1795.14,1259.19,0,0,0,0,369.0,1,0.409,0
U0001,freq_binger,2025-01-08T23:57:00,23,2,8,Fashion,3901.55,1259.19,1,0,0,0,2331.0,1,0.728,1
U0001,freq_binger,2025-01-18T09:03:00,9,5,18,Gaming,1829.88,1259.19,0,0,1,0,13506.0,1,0.746,0
U0001,freq_binger,2025-01-19T11:37:00,11,6,19,Subscriptions,497.23,1259.19,0,0,1,0,1594.0,1,0.454,0
U0001,freq_binger,2025-01-19T23:04:00,23,6,19,Grocery,484.83,1259.19,1,0,1,0,687.0,1,0.723,0
U0001,freq_binger,2025-01-26T18:55:00,18,6,26,Electronics,2857.02,1259.19,0,1,1,0,9831.0,1,0.773,0
U0001,freq_binger,2025-01-27T12:42:00,12,0,27,Electronics,4619.57,1259.19,0,1,0,0,1067.0,1,0.313,1
U0001,freq_binger,2025-01-29T01:59:00,1,2,29,Food & Dining,288.63,1259.19,1,1,0,0,2237.0,1,0.462,0
U0001,freq_binger,2025-01-30T19:19:00,19,3,30,Travel,1587.95,1259.19,0,1,0,0,2480.0,1,0.128,0
U0001,freq_binger,2025-03-28T11:16:00,11,4,28,Food & Dining,132.17,1259.19,0,1,0,0,81597.0,1,0.177,0
U0001,freq_binger,2025-04-06T08:32:00,8,6,6,Gaming,3437.46,1259.19,0,0,1,0,12796.0,1,0.743,0
U0001,freq_binger,2025-04-15T01:59:00,1,1,15,Electronics,1341.72,1259.19,1,0,0,0,12567.0,1,0.852,0
U0001,freq_binger,2025-04-24T03:42:00,3,3,24,Health,1098.46,1259.19,1,0,0,0,13063.0,1,0.499,0
U0001,freq_binger,2025-04-30T03:30:00,3,2,30,Travel,1114.72,1259.19,1,1,0,0,8628.0,1,0.505,0
U0001,freq_binger,2025-05-02T08:37:00,8,4,2,Fashion,961.21,1259.19,0,0,0,0,3187.0,1,0.322,0
U0001,freq_binger,2025-05-03T22:48:00,22,5,3,Gaming,3034.11,1259.19,0,0,1,0,2291.0,1,0.606,0
U0001,freq_binger,2025-05-08T11:12:00,11,3,8,Grocery,1152.81,1259.19,0,0,0,0,6504.0,1,0.102,0
U0001,freq_binger,2025-05-09T15:15:00,15,4,9,Gaming,2523.74,1259.19,0,0,0,0,1683.0,1,0.482,0
